2025-06-24 08:24:12 - Iniciando login no portal FIAP
2025-06-24 09:22:43 - Dados sensíveis tarjados com sucesso.
2025-06-24 09:25:39 - Dados sensíveis tarjados com sucesso.
2025-06-24 09:36:05 - Dados sensíveis tarjados com sucesso.
2025-06-25 12:44:20 - Dados sensíveis tarjados com sucesso.
2025-06-25 13:36:30 - Dados sensíveis tarjados com sucesso.
2025-06-26 12:36:06 - Dados sensíveis tarjados com sucesso.
2025-06-26 13:00:24 - Dados sensíveis tarjados com sucesso.
2025-06-26 13:01:51 - Dados sensíveis tarjados com sucesso.
2025-06-26 13:03:43 - Dados sensíveis tarjados com sucesso.
2025-06-26 13:25:07 - Dados sensíveis tarjados com sucesso.
2025-07-02 09:42:56 - Dados sensíveis tarjados em Word com sucesso.
2025-07-02 09:43:52 - Dados sensíveis tarjados com sucesso.
